iso3,country,year,homicide_rate,gini,gdppc,pop,democracy,gini_interp,log_homicide,log_gdppc,gini_c,democracy_c,gini_x_dem
ALB,Albania,2008,3.10732240524797,30,9861658465.33864,2947314,5.91,30,1.1369744299078217,23.011920192769498,-6.073478421246769,-0.653179680150517,3.967072692591031
ALB,Albania,2008,3.20755861186887,30,9861658465.33864,2947314,5.91,30,1.168622876909286,23.011920192769498,-6.073478421246769,-0.653179680150517,3.967072692591031
ALB,Albania,2010,4.06320641959299,NA,10428102872.2706,2913021,5.86,29.5,1.4044305073705463,23.06777019797386,-6.573478421246769,-0.7031796801505168,4.622336453728627
ALB,Albania,2011,4.87720435898422,NA,10685000942.5337,2905195,5.81,29.25,1.5866204342715482,23.09210681392844,-6.823478421246769,-0.7531796801505175,5.139305294828599
ALB,Albania,2012,5.39518158737926,29,10790155229.5092,2860708,5.67,29,1.6873580467117093,23.101900002536436,-7.073478421246769,-0.8931796801505172,6.317887193840774
ALB,Albania,2013,4.26472598705621,NA,10974367815.094,2816902,5.67,30.4,1.4527200037394106,23.118828191979233,-5.67347842124677,-0.8931796801505172,5.067435641630051
ALB,Albania,2013,1.926005284477,NA,10974367815.094,2816902,5.67,31.8,0.6606267184358872,23.118828191979233,-4.273478421246768,-0.8931796801505172,3.8169840894193254
ALB,Albania,2013,0,NA,10974367815.094,2816902,5.67,33.2,-4.605170185988091,23.118828191979233,-2.873478421246766,-0.8931796801505172,2.5665325372085994
ALB,Albania,2014,4.6147231364138,34.6,11220218560.8998,2773767,5.67,34.6,1.5314165067755474,23.140983216432325,-1.4734784212467673,-0.8931796801505172,1.3160809849978767
ALB,Albania,2014,6.02669066322698,34.6,11220218560.8998,2773767,5.67,34.6,1.7978559583535434,23.140983216432325,-1.4734784212467673,-0.8931796801505172,1.3160809849978767
ALB,Albania,2014,0,34.6,11220218560.8998,2773767,5.67,34.6,-4.605170185988091,23.140983216432325,-1.4734784212467673,-0.8931796801505172,1.3160809849978767
ALB,Albania,2015,2.20793808941597,32.8,11470171826.9575,2731293,5.91,32.8,0.7965779757414778,23.163015748529755,-3.2734784212467716,-0.653179680150517,2.1381695881695855
ALB,Albania,2015,5.72683941942268,32.8,11470171826.9575,2731293,5.91,32.8,1.7469084348885653,23.163015748529755,-3.2734784212467716,-0.653179680150517,2.1381695881695855
